"id","customer_id","month","name","age","ssn","occupation","annual_income","monthly_inhand_salary","num_bank_accounts","num_credit_card","interest_rate","num_of_loan","delay_from_due_date","num_of_delayed_payment","changed_credit_limit","num_credit_inquiries","credit_mix","outstanding_debt","credit_utilization_ratio","credit_history_age","payment_of_min_amount","total_emi_per_month","amount_invested_monthly","payment_behaviour","monthly_balance","target","year_month","proposal_end_date"
"0x1fab6",CUS_0xc140,May,Poornima Guptaj,20.0,"982-14-9347",Entrepreneur,17844.19,1723.0159,4.0,6.0,14.0,4.0,31.0,14.0,3.59,4.0,"",84.95,30.955734,272,Yes,53.39852,89.32146,High_spent_Small_value_payments,289.5816,0,202405,""
"0x824f",CUS_0xa877,June,Scottg,55.0,"112-83-9854",Manager,18167.414,1503.9513,1.0,7.0,5.0,3.0,10.0,3.0,5.99,2.0,Good,718.95,34.658115,384,No,24.44118,125.79988,Low_spent_Medium_value_payments,280.15405,0,202406,""
"0x4560",CUS_0x92fc,July,Dineshp,45.0,"437-25-0267",Developer,86446.44,7309.87,,2.0,7.0,1.0,0.0,0.0,7.12,6.0,Good,1396.41,42.155685,220,No,53.204487,177.6087,High_spent_Large_value_payments,740.1738,0,202407,""
"0x1c692",CUS_0x4046,January,Janq,19.0,#F%$D@*&8,Mechanic,41191.6,3093.745,,3.0,4.0,1.0,2.0,8.0,4.55,0.0,"",801.66,40.718063,214,No,21.403492,152.75291,!@9#%8,454.30695,0,202401,""
"0x1565a",CUS_0x6bc0,January,Stella Dawsonx,28.0,"191-18-9591",Accountant,10172.3,1046.6917,10.0,8.0,33.0,6.0,20.0,19.0,7.39,9.0,"",2054.39,37.477222,111,Yes,36.489246,115.452545,Low_spent_Small_value_payments,242.72737,1,202401,""
"0x1b62b",CUS_0xc06a,February,Andreasz,31.0,"162-49-4073",Writer,95389.71,3093.745,6.0,7.0,16.0,1.0,24.0,8.0,11.92,1.0,"",544.02,34.36103,353,Yes,42.202248,418.8352,Low_spent_Medium_value_payments,584.7768,0,202402,""
"0x1ffdb",CUS_0x4b12,February,Clarax,22.8,"535-48-2237",Media_Manager,57654.4,4590.533,4.0,6.0,10.0,2.0,12.0,16.0,9.4,9.0,"",573.53,38.048527,123,Yes,53.036045,196.51239,Low_spent_Small_value_payments,499.50488,0,202402,""
"0x17bde",CUS_0x61b0,May,Dmitracovab,36.0,"856-46-5970",Writer,18125.81,1545.4841,10.0,9.0,21.0,6.0,47.0,22.0,5.36,15.0,Bad,1785.84,27.084444,158,Yes,85.54991,141.2727,Low_spent_Medium_value_payments,207.7258,1,202405,""
"0x767d",CUS_0x4380,April,Whiten,30.0,"261-79-5644",Writer,14360.97,1262.7476,3.0,3.0,9.0,7.0,19.0,12.0,15.1,4.0,Standard,2000.14,25.168467,98,Yes,48.72288,100.43753,Low_spent_Medium_value_payments,257.11435,0,202404,""
"0x6a89",CUS_0x3cc8,April,"",44.0,"047-34-0898",Architect,32632.16,2789.3467,6.0,9.0,25.0,2.0,41.0,25.0,7.68,9.4,Bad,1309.09,30.425686,181,Yes,35.191647,65.88658,High_spent_Large_value_payments,417.85645,1,202404,""
"0x7cff",CUS_0x7833,February,Alwynb,22.0,"796-39-9783",Manager,43311.84,3879.32,3.0,4.0,9.0,3.0,9.0,8.0,2.78,1.0,Good,951.78,29.315239,274,No,112.039696,83.48493,High_spent_Medium_value_payments,480.89804,1,202402,""
"0x1c40e",CUS_0x2683,May,Mariya Gordeyevaw,39.0,"766-18-7621",Developer,58380.6,4891.05,7.0,5.0,27.0,4.0,58.0,19.0,9.94,12.0,Standard,1494.92,28.594004,114,Yes,160.05197,389.2775,!@9#%8,219.77554,0,202405,""
"0x19122",CUS_0x28d0,January,Vlastelicaf,25.0,"104-04-7236",Writer,16293.385,1145.7821,2.0,1.0,6.0,0.0,3.0,3.0,5.21,2.0,Good,1189.57,32.276184,219,No,0.0,110.30411,Low_spent_Small_value_payments,294.2741,0,202401,""
"0x1ce55",CUS_0x6ddb,August,Basil Katzz,14.0,"827-28-7539",Teacher,15433.33,1421.1108,8.0,3.0,5.0,2.0,22.0,20.0,17.86,12.0,Standard,2132.46,33.066227,227,Yes,18.250103,65.30532,Low_spent_Small_value_payments,362.0399,1,202408,""
"0x3bcd",CUS_0xc490,April,"",41.0,"760-30-1179",Writer,42776.51,3278.7092,4.0,4.0,3.0,0.0,2.0,11.0,1.45,2.0,"",152.77,23.275915,259,No,0.0,259.8045,Low_spent_Medium_value_payments,348.0664,0,202404,""
"0x1949e",CUS_0xc50f,May,"""John ODonnell""n",23.0,"193-54-3118",Accountant,38655.1,2971.3926,5.0,7.0,5.0,4.0,9.0,14.0,1.22,4.0,Good,1295.1,32.42463,361,No,363.0062,151.63463,High_spent_Small_value_payments,369.0507,0,202405,""
"0x6b1b",CUS_0x22e0,June,Tarmom,43.0,"425-90-3286",Accountant,17393.16,1230.43,7.0,8.0,23.0,-100.0,19.0,23.0,0.83,8.0,Bad,1396.22,36.1952,187,Yes,101.08796,44.557995,Low_spent_Small_value_payments,267.39703,0,202406,""
"0x1767b",CUS_0x991d,June,Nickelq,55.0,"669-84-2094",Musician,115105.56,9684.13,4.0,5.0,18.0,4.0,24.0,18.0,13.26,6.0,"",695.19,33.518864,216,Yes,289.62875,139.07217,High_spent_Medium_value_payments,789.7121,0,202406,""
"0xb281",CUS_0x8eaa,August,Wayne Coled,34.0,"274-64-8413",Developer,16518.87,1279.5725,10.0,8.0,28.0,-100.0,16.0,15.0,10.0,8.0,Bad,2504.31,30.020592,130,Yes,65.70518,24.342121,High_spent_Medium_value_payments,287.90994,1,202408,""
"0x4c37",CUS_0x9ddd,June,Clarae,30.0,"968-93-8478",Architect,23088.35,3093.745,7.0,4.0,18.0,3.0,19.0,15.0,19.89,8.0,"",925.28,40.60566,75,Yes,46.879143,184.48259,Low_spent_Medium_value_payments,232.24118,0,202406,""
"0xd0ac",CUS_0x6572,March,Terhim,44.0,"594-42-1364",Doctor,99475.83,8108.6523,7.0,6.0,10.0,1.0,25.0,18.0,0.84,4.0,Standard,587.9,29.535654,331,No,49.275723,210.01295,High_spent_Small_value_payments,811.5766,0,202403,""
"0x719b",CUS_0x95cf,February,Lashw,24.0,"685-36-3528",Writer,40105.03,3093.745,2.0,6.0,4.0,1.0,3.0,4.0,-0.45,3.0,"",618.37,40.24134,323,No,17.861334,135.92567,Low_spent_Small_value_payments,372.42673,0,202402,""
"0x14dbf",CUS_0x9339,June,Deepat,40.0,"646-09-4131",Accountant,15898.59,1059.8824,8.0,6.0,15.0,6.0,30.0,18.0,22.17,9.0,Bad,2552.86,27.228935,43,Yes,72.01044,40.356983,Low_spent_Small_value_payments,283.62082,0,202406,""
"0x4da9",CUS_0x71d,April,"",48.0,"331-56-3207",Accountant,69869.92,3093.745,4.0,5.0,13.0,2.0,13.0,19.0,11.42,0.0,Standard,220.97,29.785173,398,Yes,99.3575,144.83617,High_spent_Medium_value_payments,599.85565,0,202404,""
"0x8b87",CUS_0x5a72,February,Bosleyf,23.0,"551-70-7456",Architect,58144.56,4791.38,6.0,3.0,8.0,3.0,25.0,10.0,21.84,5.0,Standard,2466.95,30.419493,222,Yes,75.290886,173.07983,High_spent_Medium_value_payments,480.76727,1,202402,""
"0x205c5",CUS_0x83ea,April,Lucia Mutikanif,34.0,"869-20-6910",Media_Manager,14461.52,1010.12665,10.0,8.0,33.0,6.0,52.0,14.0,14.75,11.0,Bad,2566.1,35.045067,100,Yes,41.82172,10.76647,High_spent_Large_value_payments,288.42447,0,202404,""
"0x225c6",CUS_0xb626,January,Karen Jacobsm,36.0,"601-89-0336",Engineer,37921.54,2942.1284,8.0,5.0,18.0,6.0,53.0,22.0,6.88,12.0,Bad,1752.99,31.605988,220,Yes,137.7748,142.53258,Low_spent_Small_value_payments,303.90546,1,202401,""
"0x254bf",CUS_0x4a02,February,Chuck Mikolajczaky,32.0,"426-22-0154",Scientist,160728.05,7094.7437,2.0,5.0,11.0,2.0,4.0,6.0,0.87,1.0,Good,1242.39,43.175823,213,No,205.0867,135.92567,High_spent_Large_value_payments,1092.8193,0,202402,""
"0x852c",CUS_0xb013,July,Rhysg,21.0,"607-56-0354",Developer,32667.1,2593.2583,6.0,8.0,32.0,7.0,45.0,16.0,25.14,7.0,Bad,3908.8,36.134815,17,Yes,117.55045,62.629257,High_spent_Medium_value_payments,329.14612,0,202407,""
"0xd0c7",CUS_0x3518,June,Lynn Adlerv,32.0,"744-42-7253",Writer,38250.71,2941.559,1.0,7.0,8.0,3.0,12.0,2.0,0.76,7.0,"",1464.74,24.268814,304,No,91.48681,205.35857,!@9#%8,267.31055,0,202406,""
"0x14b69",CUS_0x32cb,August,Tomj,47.0,"526-91-1494",Entrepreneur,32959.87,2957.6558,2.0,5.0,12.0,4.0,4.0,10.0,0.69,0.0,"",1030.14,33.447163,215,No,60.940746,129.22,High_spent_Small_value_payments,365.60483,1,202408,""
"0x11a54",CUS_0xa00a,July,"",18.0,"221-91-6056",Writer,176295.0,3667.2603,5.0,2.0,9.0,2.0,10.0,10.0,1.32,1.0,"",44.91,36.64328,218,No,158.37373,537.483,High_spent_Small_value_payments,1060.1683,0,202407,""
"0x968a",CUS_0x763c,January,Andrew Calluse,54.0,"028-40-4770",Accountant,12924.77,810.06415,5.0,7.0,5.0,2.0,17.0,17.0,12.7,2.0,Standard,149.02,27.420408,391,Yes,11.515263,135.92567,Low_spent_Medium_value_payments,288.0235,0,202401,""
"0xcaeb",CUS_0x976a,June,Steve Jamesm,29.0,"429-46-2010",Mechanic,122069.01,3093.745,4.0,5.0,6.0,4.0,12.0,8.0,5.71,4.0,Good,883.42,33.82105,219,No,276.6255,470.54456,Low_spent_Small_value_payments,554.3717,0,202406,""
"0x20de0",CUS_0xb6ef,March,Andrew Cawthornet,44.0,"874-21-6811",Architect,35618.39,3174.1992,4.0,4.0,19.0,7.0,7.0,15.0,9.89,4.0,"",1320.37,34.882935,129,Yes,163.20242,387.66406,Low_spent_Small_value_payments,56.55344,0,202403,""
"0x1bd80",CUS_0x8aa3,July,Lisaf,35.0,"588-36-4233",Engineer,64977.54,5189.795,5.0,6.0,3.0,3.0,1.0,8.0,5.26,1.0,Good,1248.25,35.24187,219,No,159.70705,698.7629,Low_spent_Small_value_payments,336.71918,0,202407,""
"0x21f36",CUS_0xb787,January,Lisa Richwinei,24.0,"637-74-2121",Lawyer,71875.28,5758.6064,4.0,5.0,30.0,2.0,12.0,17.0,11.27,6.0,Standard,2140.35,28.131166,185,Yes,106.06322,79.5125,High_spent_Medium_value_payments,640.285,1,202401,""
"0x1dcdc",CUS_0x3947,July,Shirouzuc,39.0,"543-95-4931",Manager,61141.24,5253.1035,6.0,8.0,26.0,8.0,30.0,17.0,19.99,9.0,Bad,2667.09,32.02642,219,Yes,285.3808,690.23883,Low_spent_Small_value_payments,336.71918,0,202407,""
"0x224bf",CUS_0xc2ae,February,Alexei Oreskovici,45.0,"025-43-0950",Doctor,36122.51,3108.2092,3.0,7.0,20.0,1.0,27.0,14.0,1.59,4.0,"",893.3,40.224705,360,No,17.202635,174.58597,High_spent_Small_value_payments,379.03232,0,202402,""
"0x16bb2",CUS_0x3f94,May,Natalie Wrightp,52.0,"089-12-3246",Entrepreneur,96943.47,3093.745,,5.0,4.0,3.0,20.0,14.0,6.62,3.0,Good,304.31,26.944418,327,No,175.87271,199.70576,High_spent_Large_value_payments,675.1838,0,202405,""
"0x1f8c9",CUS_0xc56c,April,Patrickh,41.0,"897-95-5360",Doctor,59703.03,5080.2524,6.0,6.0,13.0,7.0,20.0,16.0,18.05,5.0,Standard,1795.28,35.060528,151,Yes,295.16766,120.12308,High_spent_Large_value_payments,332.7345,0,202404,""
"0xc481",CUS_0x94ea,August,Ben Klaymanu,55.0,"415-55-2149",Mechanic,160664.8,4223.786,3.0,5.0,7.0,1.0,15.0,5.0,11.76,7.0,Good,244.08,30.23591,258,No,123.79018,514.58704,High_spent_Medium_value_payments,935.1961,1,202408,""
"0x213e2",CUS_0x6cb9,May,Skariachanv,54.0,#F%$D@*&8,Scientist,11244.63,578.62415,3.0,3.0,20.0,4.0,24.0,15.0,18.34,2.0,"",94.17,36.9516,245,Yes,123.06464,78.031364,Low_spent_Small_value_payments,244.0376,0,202405,""
"0xd6ae",CUS_0x5e29,May,"",21.0,"984-68-5298",Musician,163851.12,5402.164,5.0,5.0,8.0,2.0,10.0,1.0,8.39,6.0,"",533.48,34.55855,398,No,139.12294,1132.5647,Low_spent_Large_value_payments,379.83838,0,202405,""
"0x6698",CUS_0x8837,March,Kalrok,18.0,"820-70-6282",Doctor,107893.68,8911.14,3.0,4.0,5.0,2.0,21.0,11.0,4.47,3.0,Good,644.4,33.44404,189,No,116.65714,526.89294,Low_spent_Small_value_payments,537.5639,0,202403,""
"0xf433",CUS_0xc1c,February,Oliviar,47.0,"518-63-7829",Journalist,32123.85,2951.9875,1.0,3.0,9.0,1.0,8.0,6.0,4.84,3.0,Good,106.9,38.835464,351,No,15.007509,79.44246,High_spent_Medium_value_payments,450.74878,0,202402,""
"0x12b26",CUS_0xb443,May,Kerbere,21.0,"151-39-2232",Doctor,147819.95,3093.745,3.0,5.0,15.0,2.0,13.0,15.0,9.68,4.0,Standard,1205.02,40.654316,326,No,224.63141,715.75366,Low_spent_Large_value_payments,574.8479,1,202405,""
"0x1bf2e",CUS_0x5d3f,May,Suzannem,41.0,"160-35-8583",Architect,100127.82,8277.985,4.0,7.0,20.0,2.0,18.0,11.0,0.51,3.0,"",520.84,30.095285,187,No,159.47829,89.680275,High_spent_Large_value_payments,893.0191,0,202405,""
"0x112cf",CUS_0x4cb3,February,Alerigif,31.0,"812-19-9012",Journalist,79748.92,6883.743,5.0,3.0,14.0,1.0,17.0,14.0,4.2,4.0,Standard,1069.89,31.124157,216,Yes,55.83916,157.65079,!@9#%8,714.8844,0,202402,""
"0x246d9",CUS_0x596a,August,Alistair Barrp,19.0,"557-24-2510",Engineer,139118.05,5273.514,3.0,4.0,12.0,3.0,19.0,12.0,6.11,1.0,"",419.4,41.072445,390,No,244.98672,364.75192,Low_spent_Large_value_payments,805.97833,0,202408,""
"0xaa05",CUS_0xc187,August,"",22.0,"112-67-0429",Lawyer,19223.44,1476.9534,5.0,5.0,28.0,7.0,28.0,10.0,7.56,8.0,Standard,1639.82,27.234674,160,Yes,63.98583,22.393776,High_spent_Large_value_payments,301.31573,1,202408,""
"0x1640b",CUS_0x6b59,February,Suvashree Deyf,21.0,"992-54-9955",Developer,29041.4,2646.1167,3.0,5.0,3.0,2.0,6.0,0.0,14.58,1.0,Good,1029.86,38.4827,378,No,37.0235,306.56998,Low_spent_Small_value_payments,211.01817,1,202402,""
"0x24e10",CUS_0x8d5d,July,Lisa Richwinef,,"512-58-2898",Journalist,49965.21,4423.7676,7.0,6.0,17.0,9.0,52.0,15.0,22.75,9.0,"",3849.44,31.988462,52,Yes,298.4796,299.14252,Low_spent_Large_value_payments,94.192375,1,202407,""
"0x1283b",CUS_0xbc56,February,Rodrigo Camposz,55.0,"234-31-6101",Scientist,117955.38,9859.615,3.0,2.0,5.0,3.0,7.0,2.0,8.28,2.0,Good,970.26,40.713234,396,No,229.88353,89.675766,High_spent_Large_value_payments,906.4022,0,202402,""
"0x18b56",CUS_0x9af6,May,Kiharad,40.0,"372-93-7737",Lawyer,15363.115,3093.745,3.0,4.0,9.0,7.0,30.0,17.0,16.56,5.0,Standard,1364.4,26.585682,197,Yes,69.68885,158.7436,Low_spent_Small_value_payments,201.5935,0,202405,""
"0x17460",CUS_0x9e1a,July,Jonathan Stempelv,53.0,"513-95-7632",Teacher,16792.324,1292.3605,1.0,4.0,5.0,3.0,6.0,1.0,3.33,5.0,"",161.57,29.941084,338,No,29.147963,118.421906,Low_spent_Small_value_payments,271.66617,0,202407,""
"0x19c56",CUS_0x29b4,January,Karenq,22.0,"041-71-4410",Accountant,14702.05,3093.745,5.0,4.0,19.0,4.0,29.0,16.0,22.0,6.0,Standard,844.25,23.181517,159,Yes,33.88562,72.564026,Low_spent_Medium_value_payments,287.56744,0,202401,""
"0xb46b",CUS_0x58d8,June,Grovera,16.0,"600-58-1259",Journalist,19135.35,1819.6125,5.0,5.0,17.0,2.0,25.0,9.0,14.4,8.0,Standard,1064.05,28.543898,289,Yes,26.131332,195.27298,Low_spent_Small_value_payments,250.55695,1,202406,""
"0x128b2",CUS_0x6f3e,January,Deepa Seetharamanu,25.0,"663-61-7502",Developer,19137.3,1871.775,10.0,7.0,27.0,2.0,51.0,14.0,10.29,6.0,Bad,1461.56,27.9197,178,Yes,29.701607,18.391315,High_spent_Large_value_payments,379.08456,1,202401,""
"0x1cc1a",CUS_0x8fc8,January,Lesleye,47.0,"809-75-3628",Doctor,34766.91,2790.2424,8.0,5.0,3.0,3.0,27.0,18.0,3.95,2.0,"",217.5,22.95654,223,No,76.90822,146.30853,!@9#%8,325.8075,0,202401,""
"0x19c72",CUS_0xbe9a,May,Patricka,50.0,"994-73-1178",Manager,34058.47,3093.745,1.0,2.0,5.0,2.0,4.0,4.0,4.01,3.0,"",339.54,28.732864,293,No,49.181507,100.61682,High_spent_Small_value_payments,397.62225,0,202405,""
"0x1b600",CUS_0xbad2,July,Henryk,48.0,#F%$D@*&8,Doctor,25376.73,2387.7275,5.0,7.0,20.0,2.0,7.0,11.0,4.83,2.0,Standard,400.25,26.514034,241,Yes,25.915464,19.276524,High_spent_Large_value_payments,433.58075,0,202407,""
"0x1962a",CUS_0xb06d,May,Seng Liv,26.0,"802-62-7763",Architect,36996.83,3152.069,6.0,5.0,6.0,2.0,20.0,9.0,7.54,4.0,Good,808.52,28.4757,380,No,31.795658,381.22195,Low_spent_Small_value_payments,192.1893,1,202405,""
"0x1cba8",CUS_0x746,July,Guptax,24.0,"351-34-4180",Journalist,71172.68,5685.0566,4.0,5.0,11.0,-100.0,20.0,20.0,1.32,1.0,Good,193.48,37.307285,320,No,94.03522,116.59358,High_spent_Medium_value_payments,607.87683,0,202407,""
"0x2ce5",CUS_0x3ea1,April,Shalal-Esae,44.0,#F%$D@*&8,Writer,51552.6,4413.05,6.0,4.0,18.0,3.0,11.0,13.0,14.86,6.0,Standard,1710.66,39.570736,219,Yes,119.85525,154.0533,High_spent_Medium_value_payments,417.39645,0,202404,""
"0x251e2",CUS_0x8718,January,Alex ran,38.0,"426-07-3179",Journalist,34631.43,2845.9524,8.0,5.8,15.0,5.0,17.0,15.0,13.16,4.0,Standard,568.94,30.288765,152,Yes,139.89732,92.87779,High_spent_Medium_value_payments,301.82013,0,202401,""
